date;idBoutique;produit;montantHt
2026-01-05;B01;Clavier mecanique;79.90
2026-01-05;B01;Souris sans fil;29.50
2026-01-06;B02;Ecran 27 pouces;219.00
2026-01-06;B02;Cable HDMI 2m;9.90
2026-01-07;B01;Casque audio;59.99
2026-01-08;B03;Webcam HD;44.90
2026-01-08;B03;Support ecran;34.50
2026-01-09;B02;Disque SSD 1To;89.00
2026-01-10;B01;Cle USB 64Go;12.90
2026-01-11;B04;Chargeur USB-C;19.90
2026-01-12;B04;Batterie externe;39.90
2026-01-13;B02;Tapis de souris;7.50
2026-01-14;B01;Hub USB 4 ports;24.90
2026-01-15;B03;Enceinte Bluetooth;49.90
2026-01-16;B02;Adaptateur secteur;14.90
2026-01-17;B04;Repose-poignet;16.50
2026-01-18;B01;Lampe de bureau LED;27.90
2026-01-19;B03;Micro USB;69.00
2026-01-20;B02;Carte SD 128Go;22.90
2026-01-21;B01;Housse ordinateur;18.90
2026-01-22;B04;Ventilateur PC;15.90
2026-01-23;B03;Station accueil;129.00
2026-01-24;B02;Bras articule ecran;54.90
2026-01-25;B01;Nettoyant ecran;6.90
2026-01-26;B04;Filtre confidentialite;39.00
